"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"9045",6,5,0,3,4,12,0.819,0.989,0.994,1,1,168
"9046",2,6,4,3,4,11,0.414,0.934,0.995,0.999,1,168
"9047",3,4,5,3,4,11,0.554,0.908,0.998,0.999,1,168
"9048",4,2,6,3,4,11,0.678,0.878,0.993,0.999,1,168
"9049",3,5,3,4,4,11,0.563,0.951,0.994,1,1,168
"9050",4,3,4,4,4,11,0.684,0.912,0.995,0.999,1,168
"9051",5,1,5,4,4,11,0.747,0.861,0.995,0.999,1,168
"9052",3,6,1,5,4,11,0.575,0.962,0.983,1,1,168
"9053",4,4,2,5,4,11,0.674,0.94,0.987,1,1,168
"9054",5,2,3,5,4,11,0.767,0.905,0.983,1,1,168
"9055",6,0,4,5,4,11,0.811,0.851,0.982,1,1,168
"9056",4,5,0,6,4,11,0.65,0.963,0.973,1,1,168
"9057",5,3,1,6,4,11,0.744,0.943,0.976,1,1,168
"9058",6,1,2,6,4,11,0.801,0.908,0.968,0.999,1,168
"9059",5,6,2,0,5,12,0.758,0.986,1,1,1,168
"9060",6,4,3,0,5,12,0.811,0.973,0.997,0.998,1,168
"9061",6,5,1,1,5,12,0.811,0.987,0.998,1,1,168
"9062",2,6,5,1,5,11,0.398,0.935,0.995,1,1,168
"9063",3,4,6,1,5,11,0.547,0.903,0.997,0.999,1,168
"9064",3,5,4,2,5,11,0.553,0.936,0.998,0.999,1,168
"9065",4,3,5,2,5,11,0.673,0.9,0.993,0.999,1,168
"9066",5,1,6,2,5,11,0.774,0.875,0.993,1,1,168
"9067",3,6,2,3,5,11,0.576,0.953,0.987,1,1,168
"9068",4,4,3,3,5,11,0.663,0.948,0.992,1,1,168
"9069",5,2,4,3,5,11,0.737,0.897,0.99,0.999,1,168
"9070",6,0,5,3,5,11,0.85,0.883,0.992,1,1,168
"9071",4,5,1,4,5,11,0.705,0.971,0.992,0.999,1,168
"9072",5,3,2,4,5,11,0.74,0.931,0.985,0.999,1,168
"9073",6,1,3,4,5,11,0.847,0.919,0.986,1,1,168
"9074",5,4,0,5,5,11,0.765,0.963,0.977,1,1,168
"9075",6,2,1,5,5,11,0.838,0.945,0.981,0.999,1,168
"9076",6,6,0,0,6,12,0.835,0.995,0.998,1,1,168
"9077",3,5,5,0,6,11,0.563,0.95,0.998,0.999,1,168
"9078",4,3,6,0,6,11,0.703,0.918,0.996,0.997,1,168
"9079",3,6,3,1,6,11,0.542,0.958,0.994,0.997,1,168
"9080",4,4,4,1,6,11,0.656,0.935,0.994,1,1,168
"9081",5,2,5,1,6,11,0.746,0.906,0.993,0.998,1,168
"9082",6,0,6,1,6,11,0.843,0.868,0.995,0.999,1,168
"9083",4,5,2,2,6,11,0.665,0.949,0.989,0.999,1,168
"9084",5,3,3,2,6,11,0.756,0.942,0.991,1,1,168
"9085",6,1,4,2,6,11,0.831,0.909,0.994,0.999,1,168
"9086",4,6,0,3,6,11,0.683,0.974,0.987,0.998,1,168
"9087",5,4,1,3,6,11,0.744,0.955,0.987,1,1,168
"9088",6,2,2,3,6,11,0.809,0.942,0.985,1,1,168
"9089",6,3,0,4,6,11,0.821,0.967,0.976,0.996,1,168
"9090",5,5,6,1,0,13,0.763,0.976,1,1,1,167
"9091",5,6,4,2,0,13,0.754,0.99,1,1,1,167
"9092",6,4,5,2,0,13,0.827,0.977,1,1,1,167
"9093",6,5,3,3,0,13,0.834,0.985,0.999,1,1,167
"9094",6,6,1,4,0,13,0.832,0.989,0.999,1,1,167
"9095",3,5,6,4,0,12,0.57,0.937,1,1,1,167
"9096",3,6,4,5,0,12,0.554,0.964,0.998,1,1,167
"9097",4,4,5,5,0,12,0.664,0.934,0.999,1,1,167
"9098",5,2,6,5,0,12,0.751,0.911,1,1,1,167
"9099",4,5,3,6,0,12,0.67,0.962,0.994,1,1,167
"9100",5,3,4,6,0,12,0.737,0.935,0.992,1,1,167
"9101",6,1,5,6,0,12,0.833,0.914,0.997,1,1,167
"9102",5,6,5,0,1,13,0.749,0.98,1,1,1,167
"9103",6,4,6,0,1,13,0.836,0.975,1,1,1,167
"9104",6,5,4,1,1,13,0.802,0.984,0.999,1,1,167
"9105",6,6,2,2,1,13,0.837,0.99,0.998,1,1,167
"9106",3,6,5,3,1,12,0.542,0.959,0.999,1,1,167
"9107",4,4,6,3,1,12,0.676,0.932,1,1,1,167
"9108",4,5,4,4,1,12,0.665,0.966,0.996,1,1,167
"9109",5,3,5,4,1,12,0.757,0.95,0.999,1,1,167
"9110",6,1,6,4,1,12,0.834,0.924,0.996,1,1,167
"9111",4,6,2,5,1,12,0.693,0.979,0.993,1,1,167
"9112",5,4,3,5,1,12,0.758,0.957,0.996,1,1,167
"9113",6,2,4,5,1,12,0.834,0.937,0.993,1,1,167
"9114",5,5,1,6,1,12,0.746,0.973,0.989,0.999,1,167
"9115",6,3,2,6,1,12,0.826,0.963,0.994,1,1,167
"9116",1,6,5,6,1,11,0.214,0.908,0.997,1,1,167
"9117",2,4,6,6,1,11,0.427,0.879,0.992,1,1,167
"9118",6,6,3,0,2,13,0.823,0.992,0.999,0.999,1,167
"9119",3,6,6,1,2,12,0.55,0.968,1,1,1,167
"9120",4,5,5,2,2,12,0.663,0.957,1,1,1,167
"9121",5,3,6,2,2,12,0.753,0.942,0.999,1,1,167
"9122",4,6,3,3,2,12,0.676,0.969,0.996,0.999,1,167
"9123",5,4,4,3,2,12,0.751,0.951,0.997,1,1,167
"9124",6,2,5,3,2,12,0.825,0.936,0.996,1,1,167
"9125",5,5,2,4,2,12,0.721,0.973,0.994,0.998,1,167
"9126",6,3,3,4,2,12,0.834,0.967,0.996,1,1,167
"9127",1,6,6,4,2,11,0.211,0.914,0.995,1,1,167
"9128",5,6,0,5,2,12,0.77,0.983,0.99,1,1,167
"9129",6,4,1,5,2,12,0.828,0.969,0.992,1,1,167
"9130",2,5,5,5,2,11,0.411,0.914,0.99,1,1,167
"9131",3,3,6,5,2,11,0.55,0.868,0.995,1,1,167
"9132",2,6,3,6,2,11,0.414,0.951,0.993,1,1,167
"9133",3,4,4,6,2,11,0.554,0.905,0.989,1,1,167
"9134",4,2,5,6,2,11,0.701,0.879,0.991,1,1,167
"9135",5,0,6,6,2,11,0.776,0.821,0.99,1,1,167
"9136",4,5,6,0,3,12,0.676,0.964,0.999,1,1,167
"9137",4,6,4,1,3,12,0.672,0.98,1,1,1,167
"9138",5,4,5,1,3,12,0.749,0.974,0.998,1,1,167
"9139",6,2,6,1,3,12,0.803,0.932,0.999,1,1,167
"9140",5,5,3,2,3,12,0.764,0.972,0.995,1,1,167
"9141",6,3,4,2,3,12,0.832,0.959,1,1,1,167
"9142",5,6,1,3,3,12,0.773,0.987,0.998,0.999,1,167
"9143",6,4,2,3,3,12,0.811,0.969,0.999,1,1,167
"9144",2,5,6,3,3,11,0.41,0.915,0.998,1,1,167
"9145",6,5,0,4,3,12,0.827,0.976,0.987,1,1,167
"9146",2,6,4,4,3,11,0.421,0.932,0.994,1,1,167
"9147",3,4,5,4,3,11,0.529,0.884,0.991,1,1,167
"9148",4,2,6,4,3,11,0.68,0.88,0.997,1,1,167
"9149",3,5,3,5,3,11,0.551,0.941,0.991,1,1,167
"9150",4,3,4,5,3,11,0.681,0.918,0.995,1,1,167
"9151",5,1,5,5,3,11,0.746,0.856,0.996,1,1,167
"9152",3,6,1,6,3,11,0.549,0.966,0.988,0.999,1,167
"9153",4,4,2,6,3,11,0.674,0.934,0.982,1,1,167
"9154",5,2,3,6,3,11,0.784,0.914,0.993,1,1,167
"9155",6,0,4,6,3,11,0.811,0.857,0.984,1,1,167
"9156",5,5,4,0,4,12,0.764,0.978,0.999,1,1,167
"9157",6,3,5,0,4,12,0.817,0.963,0.998,0.999,1,167
"9158",5,6,2,1,4,12,0.772,0.987,0.998,1,1,167
"9159",6,4,3,1,4,12,0.825,0.967,0.996,0.999,1,167
"9160",6,5,1,2,4,12,0.839,0.988,0.995,0.999,1,167
"9161",2,6,5,2,4,11,0.433,0.926,0.992,1,1,167
"9162",3,4,6,2,4,11,0.553,0.903,0.999,1,1,167
"9163",3,5,4,3,4,11,0.557,0.936,0.995,1,1,167
"9164",4,3,5,3,4,11,0.671,0.905,0.996,0.999,1,167
"9165",5,1,6,3,4,11,0.765,0.866,0.995,1,1,167
"9166",3,6,2,4,4,11,0.543,0.958,0.992,1,1,167
"9167",4,4,3,4,4,11,0.681,0.936,0.991,0.999,1,167
"9168",5,2,4,4,4,11,0.751,0.891,0.982,1,1,167
"9169",6,0,5,4,4,11,0.811,0.851,0.987,1,1,167
"9170",4,5,1,5,4,11,0.661,0.968,0.992,1,1,167
"9171",5,3,2,5,4,11,0.755,0.942,0.984,1,1,167
"9172",6,1,3,5,4,11,0.829,0.906,0.986,1,1,167
"9173",5,4,0,6,4,11,0.762,0.961,0.981,1,1,167
"9174",6,2,1,6,4,11,0.816,0.935,0.963,1,1,167
"9175",6,5,2,0,5,12,0.835,0.981,0.998,1,1,167
"9176",2,6,6,0,5,11,0.395,0.927,0.998,0.999,1,167
"9177",6,6,0,1,5,12,0.829,0.993,0.996,0.999,1,167
"9178",3,5,5,1,5,11,0.539,0.936,0.996,1,1,167
"9179",4,3,6,1,5,11,0.658,0.904,0.997,0.999,1,167
"9180",3,6,3,2,5,11,0.565,0.965,0.995,0.999,1,167
"9181",4,4,4,2,5,11,0.685,0.942,0.999,1,1,167
"9182",5,2,5,2,5,11,0.747,0.905,0.995,1,1,167
"9183",6,0,6,2,5,11,0.804,0.844,0.998,1,1,167
"9184",4,5,2,3,5,11,0.646,0.956,0.988,1,1,167
"9185",5,3,3,3,5,11,0.734,0.937,0.992,1,1,167
"9186",6,1,4,3,5,11,0.817,0.897,0.994,1,1,167
"9187",4,6,0,4,5,11,0.654,0.972,0.983,0.999,1,167
"9188",5,4,1,4,5,11,0.753,0.955,0.983,0.999,1,167
"9189",6,2,2,4,5,11,0.834,0.941,0.986,0.999,1,167
"9190",6,3,0,5,5,11,0.841,0.958,0.971,1,1,167
"9191",3,6,4,0,6,11,0.543,0.968,0.998,0.998,1,167
"9192",4,4,5,0,6,11,0.69,0.937,0.997,0.998,1,167
"9193",5,2,6,0,6,11,0.77,0.91,0.999,1,1,167
"9194",4,5,3,1,6,11,0.691,0.967,0.999,1,1,167
"9195",5,3,4,1,6,11,0.751,0.936,0.996,0.997,1,167
"9196",6,1,5,1,6,11,0.831,0.915,1,1,1,167
"9197",4,6,1,2,6,11,0.662,0.974,0.987,0.998,1,167
"9198",5,4,2,2,6,11,0.754,0.96,0.991,1,1,167
"9199",6,2,3,2,6,11,0.841,0.948,0.994,0.999,1,167
"9200",5,5,0,3,6,11,0.758,0.971,0.985,1,1,167
"9201",6,3,1,3,6,11,0.829,0.961,0.982,0.999,1,167
"9202",5,6,5,1,0,13,0.741,0.983,1,1,1,166
"9203",6,4,6,1,0,13,0.801,0.971,1,1,1,166
"9204",6,5,4,2,0,13,0.821,0.982,1,1,1,166
"9205",6,6,2,3,0,13,0.802,0.99,1,1,1,166
"9206",3,6,5,4,0,12,0.558,0.961,0.996,1,1,166
