"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"1",0,3,4,0,0,23,0,0.602,0.945,0.956,0.967,248
"2",0,4,3,0,0,23,0,0.729,0.941,0.958,0.967,247
"3",1,2,4,0,0,23,0.236,0.58,0.927,0.953,0.969,247
"4",0,5,1,1,0,23,0,0.804,0.903,0.96,0.97,247
"5",1,3,3,0,0,23,0.245,0.708,0.933,0.951,0.966,246
"6",2,1,4,0,0,23,0.42,0.639,0.931,0.951,0.966,246
"7",0,6,1,0,0,23,0,0.878,0.933,0.957,0.967,245
"8",2,2,3,0,0,23,0.389,0.698,0.926,0.955,0.968,245
"9",3,0,4,0,0,23,0.543,0.612,0.939,0.957,0.975,245
"10",1,5,0,1,0,23,0.22,0.881,0.913,0.965,0.978,245
"11",1,5,1,0,0,23,0.199,0.87,0.935,0.956,0.967,244
"12",2,3,2,0,0,23,0.428,0.821,0.936,0.953,0.964,244
"13",3,1,3,0,0,23,0.561,0.715,0.938,0.951,0.961,244
"14",2,4,0,1,0,23,0.398,0.876,0.906,0.966,0.975,244
"15",4,0,2,1,0,23,0.652,0.711,0.91,0.961,0.968,244
"16",1,6,0,0,0,23,0.226,0.901,0.933,0.952,0.966,243
"17",3,2,2,0,0,23,0.567,0.813,0.945,0.96,0.968,243
"18",4,0,3,0,0,23,0.657,0.711,0.942,0.957,0.967,243
"19",0,3,3,2,0,22,0,0.598,0.902,0.969,0.985,243
"20",0,3,4,0,1,22,0,0.624,0.933,0.957,0.984,243
"21",3,3,1,0,0,23,0.564,0.873,0.932,0.953,0.971,242
"22",4,1,2,0,0,23,0.675,0.808,0.936,0.959,0.975,242
"23",0,3,4,1,0,22,0,0.638,0.938,0.976,0.986,242
"24",0,4,2,2,0,22,0,0.739,0.904,0.971,0.975,242
"25",0,4,3,0,1,22,0,0.73,0.93,0.952,0.981,242
"26",1,2,4,0,1,22,0.241,0.646,0.93,0.951,0.983,242
"27",0,5,1,1,1,22,0,0.801,0.903,0.954,0.979,242
"28",3,4,0,0,0,23,0.581,0.921,0.948,0.963,0.975,241
"29",4,2,1,0,0,23,0.659,0.862,0.936,0.958,0.97,241
"30",5,0,2,0,0,23,0.77,0.813,0.94,0.963,0.971,241
"31",0,3,5,0,0,22,0,0.596,0.961,0.977,0.985,241
"32",0,4,3,1,0,22,0,0.72,0.93,0.969,0.98,241
"33",1,2,4,1,0,22,0.218,0.626,0.931,0.972,0.983,241
"34",1,3,2,2,0,22,0.239,0.708,0.905,0.97,0.983,241
"35",0,5,2,0,1,22,0,0.805,0.933,0.953,0.981,241
"36",1,3,3,0,1,22,0.219,0.716,0.926,0.953,0.985,241
"37",2,1,4,0,1,22,0.428,0.638,0.935,0.955,0.986,241
"38",0,6,0,1,1,22,0,0.854,0.903,0.958,0.98,241
"39",1,4,1,1,1,22,0.229,0.814,0.906,0.963,0.981,241
"40",0,4,4,0,0,22,0,0.729,0.96,0.97,0.975,240
"41",1,2,5,0,0,22,0.221,0.586,0.963,0.975,0.985,240
"42",6,0,0,1,0,23,0.812,0.858,0.902,0.956,0.972,240
"43",0,5,2,1,0,22,0,0.792,0.933,0.971,0.986,240
"44",1,3,3,1,0,22,0.241,0.71,0.943,0.974,0.985,240
"45",2,1,4,1,0,22,0.402,0.625,0.933,0.979,0.987,240
"46",2,2,2,2,0,22,0.421,0.733,0.906,0.971,0.977,240
"47",0,6,1,0,1,22,0,0.847,0.929,0.953,0.979,240
"48",1,4,2,0,1,22,0.24,0.81,0.942,0.956,0.979,240
"49",2,2,3,0,1,22,0.453,0.756,0.949,0.961,0.982,240
"50",3,1,2,1,1,22,0.552,0.731,0.906,0.954,0.977,240
"51",5,2,0,0,0,23,0.749,0.905,0.936,0.959,0.968,239
"52",6,0,1,0,0,23,0.836,0.872,0.945,0.959,0.979,239
"53",0,5,3,0,0,22,0,0.81,0.959,0.972,0.986,239
"54",1,3,4,0,0,22,0.21,0.719,0.965,0.98,0.988,239
"55",2,1,5,0,0,22,0.421,0.609,0.959,0.972,0.982,239
"56",0,6,1,1,0,22,0,0.856,0.927,0.962,0.979,239
"57",1,4,2,1,0,22,0.247,0.826,0.935,0.968,0.981,239
"58",2,2,3,1,0,22,0.377,0.693,0.93,0.973,0.982,239
"59",3,0,4,1,0,22,0.531,0.58,0.937,0.973,0.986,239
"60",1,5,0,2,0,22,0.243,0.866,0.905,0.968,0.979,239
"61",2,3,1,2,0,22,0.437,0.821,0.905,0.977,0.984,239
"62",1,5,1,0,1,22,0.234,0.873,0.931,0.961,0.984,239
"63",3,1,3,0,1,22,0.557,0.723,0.926,0.952,0.981,239
"64",3,2,1,1,1,22,0.569,0.82,0.903,0.958,0.985,239
"65",6,1,0,0,0,23,0.82,0.904,0.932,0.951,0.967,238
"66",0,6,2,0,0,22,0,0.872,0.97,0.982,0.991,238
"67",1,4,3,0,0,22,0.235,0.808,0.963,0.977,0.987,238
"68",2,2,4,0,0,22,0.4,0.7,0.962,0.97,0.981,238
"69",3,0,5,0,0,22,0.558,0.606,0.961,0.976,0.985,238
"70",1,5,1,1,0,22,0.253,0.871,0.938,0.973,0.986,238
"71",2,3,2,1,0,22,0.385,0.802,0.932,0.969,0.978,238
"72",3,1,3,1,0,22,0.544,0.713,0.932,0.973,0.982,238
"73",2,4,0,2,0,22,0.413,0.882,0.909,0.975,0.98,238
"74",3,2,1,2,0,22,0.537,0.812,0.908,0.971,0.98,238
"75",1,6,0,0,1,22,0.226,0.909,0.929,0.951,0.988,238
"76",2,4,1,0,1,22,0.423,0.886,0.95,0.964,0.989,238
"77",3,2,2,0,1,22,0.538,0.787,0.942,0.964,0.994,238
"78",4,0,3,0,1,22,0.689,0.735,0.944,0.964,0.985,238
"79",0,3,4,0,2,21,0,0.615,0.932,0.952,0.992,238
"80",1,5,2,0,0,22,0.259,0.885,0.96,0.966,0.978,237
"81",2,3,3,0,0,22,0.428,0.799,0.95,0.962,0.977,237
"82",3,1,4,0,0,22,0.575,0.747,0.961,0.972,0.981,237
"83",1,6,0,1,0,22,0.225,0.917,0.935,0.965,0.978,237
"84",2,4,1,1,0,22,0.414,0.857,0.932,0.974,0.984,237
"85",3,2,2,1,0,22,0.562,0.812,0.927,0.975,0.981,237
"86",4,0,3,1,0,22,0.664,0.722,0.945,0.985,0.989,237
"87",3,3,0,2,0,22,0.576,0.867,0.906,0.967,0.977,237
"88",4,1,1,2,0,22,0.684,0.821,0.918,0.983,0.988,237
"89",0,3,3,3,0,21,0,0.627,0.906,0.987,0.992,237
"90",2,5,0,0,1,22,0.426,0.925,0.947,0.96,0.987,237
"91",3,3,1,0,1,22,0.556,0.869,0.944,0.962,0.992,237
"92",5,0,1,1,1,22,0.759,0.799,0.905,0.958,0.984,237
"93",0,3,4,1,1,21,0,0.598,0.925,0.969,0.989,237
"94",0,4,2,2,1,21,0,0.707,0.906,0.974,0.991,237
"95",0,4,3,0,2,21,0,0.719,0.94,0.954,0.993,237
"96",2,1,3,1,2,21,0.403,0.6,0.907,0.962,0.995,237
"97",1,6,1,0,0,22,0.24,0.911,0.961,0.969,0.982,236
"98",2,4,2,0,0,22,0.399,0.875,0.954,0.972,0.981,236
"99",3,2,3,0,0,22,0.541,0.793,0.953,0.966,0.978,236
"100",4,0,4,0,0,22,0.672,0.726,0.959,0.97,0.979,236
"101",2,5,0,1,0,22,0.399,0.901,0.925,0.967,0.975,236
"102",3,3,1,1,0,22,0.568,0.877,0.938,0.973,0.986,236
"103",4,1,2,1,0,22,0.681,0.813,0.931,0.975,0.985,236
"104",0,3,4,2,0,21,0,0.598,0.926,0.986,0.991,236
"105",4,2,1,0,1,22,0.67,0.878,0.942,0.956,0.989,236
"106",0,3,5,0,1,21,0,0.621,0.974,0.981,0.989,236
"107",5,1,0,1,1,22,0.778,0.877,0.901,0.951,0.977,236
"108",0,4,3,1,1,21,0,0.719,0.931,0.98,0.993,236
"109",1,2,4,1,1,21,0.241,0.584,0.936,0.976,0.989,236
"110",0,5,1,2,1,21,0,0.795,0.903,0.977,0.989,236
"111",2,1,3,2,1,21,0.418,0.616,0.913,0.982,0.989,236
"112",0,5,2,0,2,21,0,0.795,0.94,0.958,0.991,236
"113",1,3,3,0,2,21,0.243,0.725,0.942,0.956,0.993,236
"114",2,1,4,0,2,21,0.411,0.588,0.947,0.961,0.991,236
"115",2,5,1,0,0,22,0.397,0.909,0.952,0.964,0.977,235
"116",3,3,2,0,0,22,0.565,0.865,0.96,0.973,0.981,235
"117",4,1,3,0,0,22,0.688,0.817,0.96,0.973,0.981,235
"118",3,4,0,1,0,22,0.584,0.909,0.926,0.973,0.984,235
"119",4,2,1,1,0,22,0.654,0.85,0.934,0.972,0.982,235
"120",5,0,2,1,0,22,0.758,0.807,0.931,0.976,0.984,235
"121",0,3,5,1,0,21,0,0.63,0.957,0.983,0.99,235
"122",0,4,3,2,0,21,0,0.731,0.931,0.982,0.987,235
"123",1,2,4,2,0,21,0.226,0.595,0.926,0.98,0.989,235
"124",1,3,2,3,0,21,0.231,0.736,0.903,0.987,0.992,235
"125",2,1,3,3,0,21,0.427,0.605,0.903,0.986,0.994,235
"126",4,3,0,0,1,22,0.695,0.926,0.947,0.963,0.989,235
"127",5,1,1,0,1,22,0.763,0.867,0.936,0.951,0.982,235
"128",0,4,4,0,1,21,0,0.714,0.953,0.974,0.987,235
"129",1,2,5,0,1,21,0.219,0.589,0.952,0.964,0.988,235
"130",0,5,2,1,1,21,0,0.786,0.942,0.974,0.992,235
"131",1,3,3,1,1,21,0.247,0.739,0.932,0.984,0.995,235
"132",2,1,4,1,1,21,0.429,0.62,0.933,0.97,0.988,235
"133",0,6,0,2,1,21,0,0.869,0.902,0.977,0.99,235
"134",0,6,1,0,2,21,0,0.868,0.939,0.962,0.995,235
"135",2,2,3,0,2,21,0.407,0.73,0.934,0.953,0.993,235
"136",2,6,0,0,0,22,0.385,0.95,0.964,0.979,0.987,234
"137",3,4,1,0,0,22,0.547,0.893,0.951,0.962,0.973,234
"138",4,2,2,0,0,22,0.665,0.869,0.961,0.978,0.982,234
"139",5,0,3,0,0,22,0.764,0.816,0.956,0.972,0.984,234
"140",0,3,6,0,0,21,0,0.606,0.974,0.983,0.989,234
"141",4,3,0,1,0,22,0.659,0.889,0.923,0.978,0.987,234
"142",5,1,1,1,0,22,0.769,0.871,0.926,0.974,0.983,234
"143",0,4,4,1,0,21,0,0.73,0.959,0.982,0.99,234
"144",1,2,5,1,0,21,0.212,0.581,0.953,0.977,0.982,234
"145",6,0,0,2,0,22,0.819,0.867,0.902,0.966,0.978,234
"146",0,5,2,2,0,21,0,0.818,0.926,0.982,0.99,234
"147",1,3,3,2,0,21,0.227,0.698,0.94,0.989,0.994,234
"148",2,1,4,2,0,21,0.422,0.63,0.939,0.985,0.988,234
"149",0,6,0,3,0,21,0,0.865,0.905,0.987,0.991,234
"150",1,4,1,3,0,21,0.226,0.819,0.908,0.988,0.994,234
"151",3,0,3,3,0,21,0.56,0.619,0.91,0.986,0.99,234
"152",6,0,1,0,1,22,0.819,0.857,0.937,0.954,0.98,234
"153",0,5,3,0,1,21,0,0.816,0.963,0.973,0.99,234
"154",1,3,4,0,1,21,0.245,0.74,0.959,0.967,0.988,234
"155",2,1,5,0,1,21,0.419,0.629,0.961,0.976,0.993,234
"156",0,6,1,1,1,21,0,0.846,0.918,0.972,0.986,234
"157",1,4,2,1,1,21,0.239,0.795,0.922,0.968,0.991,234
"158",2,2,3,1,1,21,0.426,0.707,0.934,0.97,0.987,234
"159",3,0,4,1,1,21,0.563,0.611,0.932,0.967,0.987,234
"160",2,3,2,0,2,21,0.401,0.818,0.94,0.958,0.99,234
"161",0,3,3,1,3,20,0,0.602,0.903,0.955,0.997,234
"162",3,5,0,0,0,22,0.6,0.942,0.96,0.975,0.985,233
"163",4,3,1,0,0,22,0.682,0.893,0.956,0.969,0.982,233
"164",5,1,2,0,0,22,0.773,0.894,0.972,0.983,0.989,233
"165",0,4,5,0,0,21,0,0.726,0.975,0.985,0.995,233
"166",1,2,6,0,0,21,0.211,0.586,0.971,0.982,0.988,233
"167",5,2,0,1,0,22,0.743,0.89,0.921,0.967,0.981,233
"168",6,0,1,1,0,22,0.83,0.87,0.939,0.974,0.98,233
"169",0,5,3,1,0,21,0,0.809,0.966,0.987,0.993,233
"170",1,3,4,1,0,21,0.231,0.72,0.949,0.981,0.987,233
"171",2,1,5,1,0,21,0.387,0.58,0.959,0.986,0.994,233
"172",0,6,1,2,0,21,0,0.842,0.929,0.982,0.992,233
"173",1,4,2,2,0,21,0.227,0.807,0.92,0.983,0.987,233
"174",2,2,3,2,0,21,0.407,0.714,0.931,0.982,0.989,233
"175",3,0,4,2,0,21,0.556,0.614,0.934,0.98,0.989,233
"176",2,3,1,3,0,21,0.394,0.802,0.902,0.98,0.986,233
"177",0,6,2,0,1,21,0,0.889,0.964,0.975,0.992,233
"178",1,4,3,0,1,21,0.211,0.793,0.958,0.975,0.992,233
"179",2,2,4,0,1,21,0.431,0.748,0.957,0.97,0.989,233
"180",3,0,5,0,1,21,0.538,0.587,0.957,0.97,0.992,233
"181",1,5,1,1,1,21,0.225,0.871,0.938,0.985,0.995,233
"182",2,3,2,1,1,21,0.426,0.808,0.928,0.964,0.992,233
"183",3,1,3,1,1,21,0.556,0.715,0.93,0.97,0.986,233
"184",4,0,2,2,1,21,0.675,0.722,0.905,0.969,0.986,233
"185",1,6,0,0,2,21,0.248,0.919,0.946,0.962,0.99,233
"186",2,4,1,0,2,21,0.401,0.863,0.929,0.957,0.993,233
"187",4,0,3,0,2,21,0.654,0.717,0.932,0.952,0.991,233
"188",0,3,3,2,2,20,0,0.633,0.904,0.974,0.994,233
"189",0,3,4,0,3,20,0,0.594,0.94,0.952,0.996,233
"190",4,4,0,0,0,22,0.696,0.947,0.961,0.978,0.983,232
"191",5,2,1,0,0,22,0.765,0.918,0.967,0.977,0.985,232
"192",6,0,2,0,0,22,0.832,0.876,0.969,0.98,0.986,232
"193",0,5,4,0,0,21,0,0.801,0.974,0.987,0.991,232
"194",1,3,5,0,0,21,0.232,0.732,0.98,0.989,0.994,232
"195",2,1,6,0,0,21,0.416,0.614,0.979,0.985,0.988,232
"196",6,1,0,1,0,22,0.841,0.904,0.926,0.98,0.986,232
"197",0,6,2,1,0,21,0,0.864,0.96,0.988,0.99,232
"198",1,4,3,1,0,21,0.267,0.815,0.962,0.985,0.992,232
"199",2,2,4,1,0,21,0.404,0.733,0.953,0.977,0.985,232
"200",3,0,5,1,0,21,0.556,0.599,0.959,0.989,0.993,232
"201",1,5,1,2,0,21,0.248,0.867,0.94,0.986,0.992,232
"202",2,3,2,2,0,21,0.394,0.779,0.924,0.981,0.987,232
"203",3,1,3,2,0,21,0.559,0.708,0.927,0.987,0.992,232
"204",3,2,1,3,0,21,0.554,0.808,0.906,0.987,0.992,232
"205",1,5,2,0,1,21,0.223,0.863,0.952,0.969,0.987,232
"206",2,3,3,0,1,21,0.434,0.796,0.96,0.978,0.992,232
"207",3,1,4,0,1,21,0.54,0.718,0.966,0.973,0.99,232
"208",1,6,0,1,1,21,0.228,0.9,0.93,0.97,0.986,232
"209",2,4,1,1,1,21,0.426,0.877,0.946,0.975,0.987,232
"210",3,2,2,1,1,21,0.575,0.811,0.932,0.972,0.993,232
"211",4,0,3,1,1,21,0.678,0.726,0.942,0.974,0.995,232
"212",2,5,0,0,2,21,0.423,0.927,0.948,0.961,0.996,232
"213",3,3,1,0,2,21,0.533,0.86,0.935,0.957,0.991,232
"214",0,3,4,1,2,20,0,0.597,0.938,0.976,0.998,232
"215",0,4,2,2,2,20,0,0.746,0.907,0.971,0.993,232
"216",0,4,3,0,3,20,0,0.718,0.934,0.953,0.994,232
"217",1,3,2,1,3,20,0.231,0.724,0.902,0.957,0.995,232
"218",5,3,0,0,0,22,0.738,0.93,0.956,0.972,0.979,231
"219",6,1,1,0,0,22,0.854,0.923,0.965,0.979,0.985,231
"220",0,6,3,0,0,21,0,0.868,0.968,0.974,0.984,231
"221",1,4,4,0,0,21,0.221,0.779,0.972,0.981,0.986,231
"222",2,2,5,0,0,21,0.388,0.694,0.983,0.99,0.992,231
"223",3,0,6,0,0,21,0.566,0.613,0.975,0.986,0.991,231
"224",1,5,2,1,0,21,0.226,0.879,0.964,0.989,0.992,231
"225",2,3,3,1,0,21,0.412,0.799,0.963,0.981,0.989,231
"226",3,1,4,1,0,21,0.553,0.693,0.944,0.98,0.99,231
"227",1,6,0,2,0,21,0.222,0.91,0.939,0.976,0.983,231
"228",2,4,1,2,0,21,0.398,0.851,0.932,0.984,0.99,231
"229",3,2,2,2,0,21,0.547,0.798,0.929,0.989,0.995,231
"230",4,0,3,2,0,21,0.648,0.697,0.934,0.984,0.993,231
"231",4,1,1,3,0,21,0.659,0.804,0.903,0.987,0.993,231
"232",0,3,3,4,0,20,0,0.597,0.905,0.985,0.991,231
"233",1,6,1,0,1,21,0.216,0.906,0.957,0.978,0.99,231
"234",2,4,2,0,1,21,0.412,0.861,0.959,0.965,0.985,231
"235",3,2,3,0,1,21,0.544,0.786,0.962,0.974,0.993,231
"236",4,0,4,0,1,21,0.654,0.71,0.963,0.978,0.994,231
"237",2,5,0,1,1,21,0.424,0.908,0.931,0.97,0.989,231
"238",3,3,1,1,1,21,0.56,0.866,0.94,0.977,0.991,231
"239",4,1,2,1,1,21,0.675,0.806,0.926,0.964,0.983,231
"240",4,2,0,2,1,21,0.684,0.874,0.909,0.978,0.991,231
"241",0,3,4,2,1,20,0,0.626,0.933,0.984,0.997,231
"242",3,4,0,0,2,21,0.558,0.903,0.932,0.953,0.985,231
"243",4,2,1,0,2,21,0.652,0.856,0.936,0.953,0.986,231
"244",5,0,2,0,2,21,0.737,0.783,0.923,0.951,0.991,231
"245",0,3,5,0,2,20,0,0.612,0.949,0.96,0.99,231
"246",5,1,0,1,2,21,0.784,0.875,0.908,0.964,0.993,231
"247",0,4,3,1,2,20,0,0.716,0.927,0.965,0.99,231
"248",1,2,4,1,2,20,0.232,0.604,0.929,0.97,0.995,231
"249",1,3,2,2,2,20,0.22,0.725,0.902,0.976,0.999,231
"250",2,1,3,2,2,20,0.392,0.605,0.901,0.971,0.996,231
"251",0,5,2,0,3,20,0,0.824,0.945,0.962,0.996,231
"252",1,3,3,0,3,20,0.236,0.728,0.938,0.955,0.994,231
"253",2,1,4,0,3,20,0.414,0.603,0.943,0.956,0.992,231
"254",0,6,0,1,3,20,0,0.873,0.906,0.951,0.995,231
"255",3,0,3,1,3,20,0.561,0.621,0.914,0.964,0.995,231
"256",6,2,0,0,0,22,0.824,0.933,0.952,0.966,0.976,230
"257",1,5,3,0,0,21,0.221,0.859,0.978,0.984,0.989,230
"258",2,3,4,0,0,21,0.4,0.771,0.978,0.982,0.987,230
"259",3,1,5,0,0,21,0.548,0.725,0.98,0.986,0.992,230
"260",1,6,1,1,0,21,0.225,0.899,0.953,0.984,0.989,230
"261",2,4,2,1,0,21,0.385,0.865,0.953,0.975,0.99,230
"262",3,2,3,1,0,21,0.539,0.801,0.958,0.986,0.993,230
"263",4,0,4,1,0,21,0.654,0.708,0.962,0.99,0.993,230
"264",2,5,0,2,0,21,0.377,0.902,0.928,0.982,0.99,230
"265",3,3,1,2,0,21,0.543,0.849,0.924,0.975,0.985,230
"266",4,1,2,2,0,21,0.68,0.814,0.934,0.983,0.99,230
"267",5,0,1,3,0,21,0.783,0.818,0.91,0.986,0.991,230
"268",0,3,4,3,0,20,0,0.587,0.922,0.992,0.994,230
"269",1,2,3,4,0,20,0.234,0.633,0.907,0.99,0.992,230
"270",2,5,1,0,1,21,0.413,0.9,0.951,0.969,0.987,230
"271",3,3,2,0,1,21,0.58,0.857,0.956,0.969,0.991,230
"272",4,1,3,0,1,21,0.685,0.823,0.958,0.977,0.991,230
"273",3,4,0,1,1,21,0.559,0.926,0.947,0.976,0.988,230
"274",4,2,1,1,1,21,0.677,0.855,0.926,0.965,0.989,230
"275",5,0,2,1,1,21,0.743,0.788,0.932,0.972,0.99,230
"276",0,3,5,1,1,20,0,0.608,0.967,0.985,0.997,230
"277",0,4,3,2,1,20,0,0.713,0.922,0.98,0.993,230
"278",1,2,4,2,1,20,0.261,0.644,0.943,0.983,0.994,230
"279",1,3,2,3,1,20,0.229,0.724,0.903,0.982,0.995,230
"280",5,1,1,0,2,21,0.786,0.885,0.944,0.957,0.989,230
"281",0,4,4,0,2,20,0,0.742,0.963,0.972,0.991,230
"282",1,2,5,0,2,20,0.228,0.619,0.965,0.979,0.994,230
"283",0,5,2,1,2,20,0,0.807,0.944,0.973,0.994,230
"284",1,3,3,1,2,20,0.221,0.703,0.931,0.972,0.995,230
"285",2,1,4,1,2,20,0.42,0.618,0.925,0.964,0.995,230
"286",2,2,2,2,2,20,0.42,0.734,0.91,0.972,0.994,230
"287",1,4,2,0,3,20,0.211,0.799,0.926,0.955,0.992,230
"288",2,3,1,1,3,20,0.436,0.797,0.901,0.953,0.996,230
"289",3,1,2,1,3,20,0.57,0.721,0.901,0.967,0.994,230
"290",1,6,2,0,0,21,0.238,0.902,0.982,0.987,0.991,229
"291",2,4,3,0,0,21,0.414,0.858,0.969,0.983,0.985,229
"292",3,2,4,0,0,21,0.551,0.803,0.971,0.979,0.99,229
"293",4,0,5,0,0,21,0.682,0.732,0.98,0.987,0.99,229
"294",2,5,1,1,0,21,0.404,0.931,0.966,0.985,0.992,229
"295",3,3,2,1,0,21,0.578,0.875,0.972,0.986,0.995,229
"296",4,1,3,1,0,21,0.659,0.807,0.96,0.984,0.989,229
"297",3,4,0,2,0,21,0.549,0.898,0.933,0.983,0.987,229
"298",4,2,1,2,0,21,0.646,0.874,0.936,0.988,0.995,229
"299",5,0,2,2,0,21,0.773,0.813,0.946,0.988,0.992,229
"300",0,3,5,2,0,20,0,0.594,0.954,0.995,0.997,229
"301",0,4,3,3,0,20,0,0.714,0.932,0.993,0.996,229
"302",1,2,4,3,0,20,0.257,0.63,0.923,0.989,0.993,229
"303",1,3,2,4,0,20,0.215,0.738,0.917,0.991,0.993,229
"304",2,6,0,0,1,21,0.404,0.942,0.954,0.968,0.99,229
"305",3,4,1,0,1,21,0.554,0.898,0.948,0.965,0.99,229
"306",4,2,2,0,1,21,0.678,0.868,0.964,0.973,0.99,229
"307",5,0,3,0,1,21,0.753,0.804,0.963,0.975,0.988,229
"308",0,3,6,0,1,20,0,0.56,0.972,0.984,0.996,229
"309",4,3,0,1,1,21,0.661,0.908,0.932,0.974,0.991,229
"310",5,1,1,1,1,21,0.777,0.872,0.932,0.968,0.986,229
"311",0,4,4,1,1,20,0,0.725,0.955,0.988,0.997,229
"312",1,2,5,1,1,20,0.245,0.616,0.956,0.986,0.994,229
"313",6,0,0,2,1,21,0.83,0.871,0.902,0.974,0.989,229
"314",0,5,2,2,1,20,0,0.823,0.939,0.983,0.995,229
"315",1,3,3,2,1,20,0.229,0.732,0.932,0.987,0.996,229
"316",2,1,4,2,1,20,0.411,0.612,0.94,0.991,0.998,229
"317",2,2,2,3,1,20,0.419,0.725,0.905,0.983,0.996,229
"318",5,2,0,0,2,21,0.769,0.905,0.941,0.961,0.993,229
"319",6,0,1,0,2,21,0.819,0.865,0.933,0.954,0.991,229
"320",0,5,3,0,2,20,0,0.794,0.951,0.964,0.993,229
"321",1,3,4,0,2,20,0.219,0.73,0.965,0.979,0.995,229
"322",2,1,5,0,2,20,0.407,0.588,0.959,0.972,0.994,229
"323",0,6,1,1,2,20,0,0.873,0.939,0.975,0.993,229
"324",1,4,2,1,2,20,0.251,0.819,0.935,0.974,0.996,229
"325",2,2,3,1,2,20,0.406,0.701,0.917,0.961,0.992,229
"326",3,0,4,1,2,20,0.573,0.619,0.943,0.978,0.999,229
"327",1,5,0,2,2,20,0.248,0.863,0.904,0.972,0.995,229
"328",2,3,1,2,2,20,0.422,0.81,0.903,0.977,0.998,229
"329",1,5,1,0,3,20,0.24,0.881,0.94,0.962,0.997,229
"330",3,1,3,0,3,20,0.557,0.713,0.935,0.951,0.996,229
"331",3,2,1,1,3,20,0.572,0.803,0.902,0.961,0.996,229
"332",4,0,2,1,3,20,0.698,0.749,0.908,0.954,0.996,229
"333",2,5,2,0,0,21,0.402,0.909,0.975,0.99,0.995,228
"334",3,3,3,0,0,21,0.566,0.874,0.982,0.989,0.993,228
"335",4,1,4,0,0,21,0.641,0.775,0.979,0.985,0.992,228
"336",2,6,0,1,0,21,0.405,0.933,0.945,0.982,0.985,228
"337",3,4,1,1,0,21,0.549,0.894,0.95,0.979,0.988,228
"338",4,2,2,1,0,21,0.667,0.865,0.955,0.982,0.989,228
"339",5,0,3,1,0,21,0.755,0.804,0.966,0.985,0.986,228
"340",0,3,6,1,0,20,0,0.589,0.977,0.994,0.994,228
"341",4,3,0,2,0,21,0.647,0.893,0.922,0.979,0.988,228
"342",5,1,1,2,0,21,0.768,0.876,0.938,0.991,0.993,228
"343",0,4,4,2,0,20,0,0.721,0.966,0.995,0.996,228
"344",1,2,5,2,0,20,0.23,0.613,0.96,0.997,1,228
"345",6,0,0,3,0,21,0.839,0.876,0.907,0.99,0.995,228
"346",0,5,2,3,0,20,0,0.801,0.931,0.988,0.992,228
"347",1,3,3,3,0,20,0.235,0.726,0.937,0.993,0.995,228
"348",2,1,4,3,0,20,0.451,0.634,0.944,0.995,0.998,228
"349",1,4,1,4,0,20,0.241,0.806,0.903,0.993,0.996,228
"350",3,0,3,4,0,20,0.593,0.648,0.901,0.993,0.996,228
"351",3,5,0,0,1,21,0.536,0.934,0.944,0.96,0.987,228
"352",4,3,1,0,1,21,0.676,0.916,0.964,0.975,0.989,228
"353",5,1,2,0,1,21,0.765,0.875,0.964,0.978,0.994,228
"354",0,4,5,0,1,20,0,0.704,0.97,0.977,0.991,228
"355",1,2,6,0,1,20,0.223,0.596,0.972,0.986,0.995,228
"356",5,2,0,1,1,21,0.755,0.916,0.939,0.975,0.991,228
"357",6,0,1,1,1,21,0.836,0.877,0.942,0.977,0.991,228
"358",0,5,3,1,1,20,0,0.774,0.947,0.989,0.997,228
"359",1,3,4,1,1,20,0.227,0.709,0.965,0.988,0.997,228
"360",2,1,5,1,1,20,0.391,0.591,0.96,0.986,0.999,228
"361",0,6,1,2,1,20,0,0.876,0.945,0.988,0.996,228
"362",1,4,2,2,1,20,0.222,0.821,0.94,0.987,0.997,228
"363",2,2,3,2,1,20,0.405,0.701,0.926,0.981,0.995,228
"364",3,0,4,2,1,20,0.562,0.612,0.941,0.985,0.994,228
"365",2,3,1,3,1,20,0.436,0.824,0.913,0.986,0.997,228
"366",0,6,2,0,2,20,0,0.836,0.954,0.971,0.992,228
"367",1,4,3,0,2,20,0.216,0.812,0.967,0.976,0.997,228
"368",2,2,4,0,2,20,0.434,0.739,0.954,0.974,0.995,228
"369",3,0,5,0,2,20,0.561,0.614,0.965,0.977,0.998,228
"370",1,5,1,1,2,20,0.214,0.855,0.923,0.973,0.997,228
"371",2,3,2,1,2,20,0.41,0.798,0.936,0.97,0.998,228
"372",3,1,3,1,2,20,0.584,0.752,0.937,0.97,0.998,228
"373",2,4,0,2,2,20,0.39,0.873,0.91,0.97,0.996,228
"374",3,2,1,2,2,20,0.56,0.816,0.906,0.974,0.991,228
"375",4,0,2,2,2,20,0.666,0.725,0.904,0.972,0.994,228
"376",1,6,0,0,3,20,0.246,0.914,0.943,0.962,0.997,228
"377",2,4,1,0,3,20,0.384,0.848,0.933,0.952,0.992,228
"378",4,0,3,0,3,20,0.644,0.696,0.939,0.958,0.995,228
"379",0,3,3,2,3,19,0,0.635,0.922,0.979,0.998,228
"380",0,3,4,0,4,19,0,0.624,0.95,0.965,0.999,228
"381",0,4,2,1,4,19,0,0.727,0.906,0.953,0.994,228
